slug,product_name,image_url,saved_as,status
venetian-white,Venetian White,https://capristones.com/wp-content/uploads/2023/04/2917-2.jpg,venetian-white.jpg,OK_147905b
calacatta-negro,Calacatta Negro,https://capristones.com/wp-content/uploads/2023/04/2919-3.jpg,calacatta-negro.jpg,OK_229824b
rio-light,Rio Light,https://capristones.com/wp-content/uploads/2023/04/2924-3-scaled.jpg,rio-light.jpg,OK_278888b
calacatta-gold,Calacatta Gold,https://capristones.com/wp-content/uploads/2023/04/8015-2-scaled.jpg,calacatta-gold.jpg,OK_296860b
calacatta-gold-lq,Calacatta Gold LQ,https://capristones.com/wp-content/uploads/2023/04/8040-2.jpg,calacatta-gold-lq.jpg,OK_107397b
carrara-riva,Carrara Riva,https://capristones.com/wp-content/uploads/2023/04/8042-2-scaled.jpg,carrara-riva.jpg,OK_427790b
8130,8130,https://capristones.com/wp-content/uploads/2023/04/8130-2-scaled.jpg,8130.jpg,OK_254043b
placid,Placid,https://capristones.com/wp-content/uploads/2023/04/ApplicationFrameHost_kxFRdVIE8A.png,placid.png,OK_332338b
idyllic,Idyllic,https://capristones.com/wp-content/uploads/2023/04/9005-2-scaled.jpg,idyllic.jpg,OK_273543b
artic-gray,Artic Gray,https://capristones.com/wp-content/uploads/2023/04/9007-1-scaled.jpg,artic-gray.jpg,OK_234287b
intricate,Intricate,https://capristones.com/wp-content/uploads/2023/04/9010-3-scaled.jpg,intricate.jpg,OK_291069b
steel-gray,Steel Gray,https://capristones.com/wp-content/uploads/2023/04/ApplicationFrameHost_RZW77Zes39.png,steel-gray.png,OK_431365b
integrity,Integrity,https://capristones.com/wp-content/uploads/2023/04/9020-2-scaled.jpg,integrity.jpg,OK_347173b
argento,Argento,https://capristones.com/wp-content/uploads/2023/04/9034-2-scaled.jpg,argento.jpg,OK_306283b
dreamy,Dreamy,https://capristones.com/wp-content/uploads/2023/04/ApplicationFrameHost_LwAPbJh3yV.png,dreamy.png,OK_612513b
urban,Urban,https://capristones.com/wp-content/uploads/2023/04/9050-2-scaled.jpg,urban.jpg,OK_344874b
avenza,Avenza,https://capristones.com/wp-content/uploads/2023/04/ApplicationFrameHost_v5BI1TNymC.png,avenza.png,OK_533297b
8038,8038,https://capristones.com/wp-content/uploads/2023/04/ApplicationFrameHost_LtJOckJMPE.png,8038.png,OK_161285b
8083,8083,https://capristones.com/wp-content/uploads/2023/04/ApplicationFrameHost_p0wwSr9rzu.png,8083.png,OK_277340b
1002,1002,https://capristones.com/wp-content/uploads/2023/04/1002-1-scaled.jpg,1002.jpg,OK_270101b_swapped_to_clean
1006,1006,https://capristones.com/wp-content/uploads/2023/04/1006-1-scaled.jpg,1006.jpg,OK_448632b_swapped_to_clean
1007,1007,https://capristones.com/wp-content/uploads/2023/04/1007-1-scaled.jpg,1007.jpg,OK_389902b_swapped_to_clean
1008,1008,https://capristones.com/wp-content/uploads/2023/04/1008-1-scaled.jpg,1008.jpg,OK_349943b_swapped_to_clean
1009,1009,https://capristones.com/wp-content/uploads/2023/04/1009-1-scaled.jpg,1009.jpg,OK_383276b_swapped_to_clean
1010,1010,https://capristones.com/wp-content/uploads/2023/04/1010-1-scaled.jpg,1010.jpg,OK_291069b_swapped_to_clean
